Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","PERGAMON-ELSEVIER SCIENCE LTD","0196-8904","1879-2227","ENERGY & FUELS","SCIE","103,253","9.9","Q1","1.97","11.86"%,
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","PERGAMON-ELSEVIER SCIENCE LTD","0196-8904","1879-2227","MECHANICS","SCIE","103,253","9.9","Q1","1.97","11.86"%,
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","PERGAMON-ELSEVIER SCIENCE LTD","0196-8904","1879-2227","THERMODYNAMICS","SCIE","103,253","9.9","Q1","1.97","11.86"%,
"ACS Materials Letters","ACS MATER LETT","AMER CHEMICAL SOC","N/A","2639-4979","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","8,577","9.9","Q1","1.6","6.65"%,
"Advanced Industrial and Engineering Polymer Research","ADV IND ENG POLY RES","KEAI PUBLISHING LTD","2542-5048","2542-5048","MATERIALS SCIENCE, COMPOSITES","ESCI","1,415","9.9","Q1","1.3","78.05"%,
"Advanced Industrial and Engineering Polymer Research","ADV IND ENG POLY RES","KEAI PUBLISHING LTD","2542-5048","2542-5048","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","1,415","9.9","Q1","1.3","78.05"%,
"Advanced Industrial and Engineering Polymer Research","ADV IND ENG POLY RES","KEAI PUBLISHING LTD","2542-5048","2542-5048","POLYMER SCIENCE","ESCI","1,415","9.9","Q1","1.3","78.05"%,
"Family Business Review","FAM BUS REV","SAGE PUBLICATIONS INC","0894-4865","1741-6248","BUSINESS","SSCI","4,788","9.9","Q1","1.09","29.27"%,
"SOIL BIOLOGY & BIOCHEMISTRY","SOIL BIOL BIOCHEM","PERGAMON-ELSEVIER SCIENCE LTD","0038-0717","1879-3428","SOIL SCIENCE","SCIE","55,117","9.8","Q1","2.29","21.05"%,
"Environmental Impact Assessment Review","ENVIRON IMPACT ASSES","ELSEVIER SCIENCE INC","0195-9255","1873-6432","ENVIRONMENTAL STUDIES","SSCI","10,201","9.8","Q1","2.16","12.5"%,
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","ELSEVIER","0925-5273","1873-7579","ENGINEERING, INDUSTRIAL","SCIE","33,968","9.8","Q1","2","15.24"%,
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","ELSEVIER","0925-5273","1873-7579","ENGINEERING, MANUFACTURING","SCIE","33,968","9.8","Q1","2","15.24"%,
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","ELSEVIER","0925-5273","1873-7579","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","33,968","9.8","Q1","2","15.24"%,
"JOURNAL OF SERVICE RESEARCH","J SERV RES-US","SAGE PUBLICATIONS INC","1094-6705","1552-7379","BUSINESS","SSCI","7,619","9.8","Q1","1.97","45.69"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","WILEY-V C H VERLAG GMBH","1863-8880","1863-8899","OPTICS","SCIE","15,488","9.8","Q1","1.97","17.99"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","WILEY-V C H VERLAG GMBH","1863-8880","1863-8899","PHYSICS, APPLIED","SCIE","15,488","9.8","Q1","1.97","17.99"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","WILEY-V C H VERLAG GMBH","1863-8880","1863-8899","PHYSICS, CONDENSED MATTER","SCIE","15,488","9.8","Q1","1.97","17.99"%,
"Global Food Security-Agriculture Policy Economics and Environment","GLOB FOOD SECUR-AGR","ELSEVIER","2211-9124","2211-9124","FOOD SCIENCE & TECHNOLOGY","SCIE","6,259","9.8","Q1","1.86","59.6"%,
"Journal of Cleaner Production","J CLEAN PROD","ELSEVIER SCI LTD","0959-6526","1879-1786","ENGINEERING, ENVIRONMENTAL","SCIE","317,618","9.8","Q1","1.52","11.85"%,
"Journal of Cleaner Production","J CLEAN PROD","ELSEVIER SCI LTD","0959-6526","1879-1786","ENVIRONMENTAL SCIENCES","SCIE","317,618","9.8","Q1","1.52","11.85"%,
"Journal of Cleaner Production","J CLEAN PROD","ELSEVIER SCI LTD","0959-6526","1879-1786","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","317,618","9.8","Q1","1.52","11.85"%,
"BMJ Evidence-Based Medicine","BMJ EVID-BASED MED","BMJ PUBLISHING GROUP","2515-446X","2515-4478","MEDICINE, GENERAL & INTERNAL","SCIE","1,758","9.8","Q1","1.27","39.55"%,
"Annual Review of Political Science","ANNU REV POLIT SCI","ANNUAL REVIEWS","1094-2939","1545-1577","POLITICAL SCIENCE","SSCI","6,426","9.7","Q1","4.87","83.56"%,
"Journal of Physiotherapy","J PHYSIOTHER","AUSTRALIAN PHYSIOTHERAPY ASSOC","1836-9553","1836-9561","ORTHOPEDICS","SCIE","2,922","9.7","Q1","3.04","97.3"%,
"Journal of Physiotherapy","J PHYSIOTHER","AUSTRALIAN PHYSIOTHERAPY ASSOC","1836-9553","1836-9561","REHABILITATION","SCIE","2,922","9.7","Q1","3.04","97.3"%,
"Journal of Sport and Health Science","J SPORT HEALTH SCI","SHANGHAI UNIV SPORT","2095-2546","2213-2961","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","4,360","9.7","Q1","2.88","98.54"%,
"Journal of Sport and Health Science","J SPORT HEALTH SCI","SHANGHAI UNIV SPORT","2095-2546","2213-2961","SPORT SCIENCES","SCIE","4,360","9.7","Q1","2.88","98.54"%,
"EBioMedicine","EBIOMEDICINE","ELSEVIER","2352-3964","2352-3964","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","26,914","9.7","Q1","2.48","76.44"%,
"Radiologia Medica","RADIOL MED","SPRINGER-VERLAG ITALIA SRL","0033-8362","1826-6983","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","5,683","9.7","Q1","2.41","38.82"%,
"AMERICAN JOURNAL OF PUBLIC HEALTH","AM J PUBLIC HEALTH","AMER PUBLIC HEALTH ASSOC INC","0090-0036","1541-0048","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","43,414","9.7","Q1","1.91","0"%,
"BIORESOURCE TECHNOLOGY","BIORESOURCE TECHNOL","ELSEVIER SCI LTD","0960-8524","1873-2976","AGRICULTURAL ENGINEERING","SCIE","167,982","9.7","Q1","1.77","6.19"%,
"BIORESOURCE TECHNOLOGY","BIORESOURCE TECHNOL","ELSEVIER SCI LTD","0960-8524","1873-2976","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","167,982","9.7","Q1","1.77","6.19"%,
"BIORESOURCE TECHNOLOGY","BIORESOURCE TECHNOL","ELSEVIER SCI LTD","0960-8524","1873-2976","ENERGY & FUELS","SCIE","167,982","9.7","Q1","1.77","6.19"%,
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","ELSEVIER","0304-419X","1879-2561","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","9,800","9.7","Q1","1.32","17.86"%,
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","ELSEVIER","0304-419X","1879-2561","BIOPHYSICS","SCIE","9,800","9.7","Q1","1.32","17.86"%,
"BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","BBA-REV CANCER","ELSEVIER","0304-419X","1879-2561","ONCOLOGY","SCIE","9,800","9.7","Q1","1.32","17.86"%,
"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","ARCH COMPUT METHOD E","SPRINGER","1134-3060","1886-1784","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,304","9.7","Q1","1.27","15.53"%,
"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","ARCH COMPUT METHOD E","SPRINGER","1134-3060","1886-1784","ENGINEERING, MULTIDISCIPLINARY","SCIE","8,304","9.7","Q1","1.27","15.53"%,
"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","ARCH COMPUT METHOD E","SPRINGER","1134-3060","1886-1784","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","8,304","9.7","Q1","1.27","15.53"%,
"VIEW","VIEW-CHINA","WILEY","2688-3988","2688-268X","MATERIALS SCIENCE, BIOMATERIALS","ESCI","1,582","9.7","Q1","0.73","87.64"%,
"VIEW","VIEW-CHINA","WILEY","2688-3988","2688-268X","NANOSCIENCE & NANOTECHNOLOGY","ESCI","1,582","9.7","Q1","0.73","87.64"%,
"Educational Research Review","EDUC RES REV-NETH","ELSEVIER SCI LTD","1747-938X","1878-0385","EDUCATION & EDUCATIONAL RESEARCH","SSCI","6,009","9.6","Q1","3.15","47.37"%,
"EClinicalMedicine","ECLINICALMEDICINE","ELSEVIER","N/A","2589-5370","MEDICINE, GENERAL & INTERNAL","SCIE","13,954","9.6","Q1","2.6","76.99"%,
"IEEE Transactions on Affective Computing","IEEE T AFFECT COMPUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1949-3045","1949-3045","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","7,840","9.6","Q1","2.29","8.94"%,
"IEEE Transactions on Affective Computing","IEEE T AFFECT COMPUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1949-3045","1949-3045","COMPUTER SCIENCE, CYBERNETICS","SCIE","7,840","9.6","Q1","2.29","8.94"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","34,268","9.6","Q1","2.26","51.53"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","NEUROSCIENCES","SCIE","34,268","9.6","Q1","2.26","51.53"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","PSYCHIATRY","SCIE","34,268","9.6","Q1","2.26","51.53"%,
"Biological Psychiatry","BIOL PSYCHIAT","ELSEVIER SCIENCE INC","0006-3223","1873-2402","NEUROSCIENCES","SCIE","40,100","9.6","Q1","2.25","25.23"%,
"Biological Psychiatry","BIOL PSYCHIAT","ELSEVIER SCIENCE INC","0006-3223","1873-2402","PSYCHIATRY","SCIE","40,100","9.6","Q1","2.25","25.23"%,
"Journal of Research in Interactive Marketing","J RES INTERACT MARK","EMERALD GROUP PUBLISHING LTD","2040-7122","2040-7130","BUSINESS","SSCI","2,466","9.6","Q1","1.92","2.99"%,
"AUTOMATION IN CONSTRUCTION","AUTOMAT CONSTR","ELSEVIER","0926-5805","1872-7891","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","31,906","9.6","Q1","1.86","15.89"%,
"AUTOMATION IN CONSTRUCTION","AUTOMAT CONSTR","ELSEVIER","0926-5805","1872-7891","ENGINEERING, CIVIL","SCIE","31,906","9.6","Q1","1.86","15.89"%,
"JAMA Health Forum","JAMA-HEALTH FORUM","AMER MEDICAL ASSOC","2689-0186","2689-0186","HEALTH CARE SCIENCES & SERVICES","ESCI","2,226","9.6","Q1","1.8","99.64"%,
"JAMA Health Forum","JAMA-HEALTH FORUM","AMER MEDICAL ASSOC","2689-0186","2689-0186","HEALTH POLICY & SERVICES","ESCI","2,226","9.6","Q1","1.8","99.64"%,
"JAMA Health Forum","JAMA-HEALTH FORUM","AMER MEDICAL ASSOC","2689-0186","2689-0186","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","2,226","9.6","Q1","1.8","99.64"%,
"NANO LETTERS","NANO LETT","AMER CHEMICAL SOC","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY","SCIE","159,768","9.6","Q1","1.76","15.22"%,
"NANO LETTERS","NANO LETT","AMER CHEMICAL SOC","1530-6984","1530-6992","CHEMISTRY, PHYSICAL","SCIE","159,768","9.6","Q1","1.76","15.22"%,
"NANO LETTERS","NANO LETT","AMER CHEMICAL SOC","1530-6984","1530-6992","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","159,768","9.6","Q1","1.76","15.22"%,
"NANO LETTERS","NANO LETT","AMER CHEMICAL SOC","1530-6984","1530-6992","NANOSCIENCE & NANOTECHNOLOGY","SCIE","159,768","9.6","Q1","1.76","15.22"%,
"NANO LETTERS","NANO LETT","AMER CHEMICAL SOC","1530-6984","1530-6992","PHYSICS, APPLIED","SCIE","159,768","9.6","Q1","1.76","15.22"%,
"NANO LETTERS","NANO LETT","AMER CHEMICAL SOC","1530-6984","1530-6992","PHYSICS, CONDENSED MATTER","SCIE","159,768","9.6","Q1","1.76","15.22"%,
"Nano Research","NANO RES","TSINGHUA UNIV PRESS","1998-0124","1998-0000","CHEMISTRY, PHYSICAL","SCIE","43,791","9.6","Q1","1.54","2.87"%,
"Nano Research","NANO RES","TSINGHUA UNIV PRESS","1998-0124","1998-0000","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","43,791","9.6","Q1","1.54","2.87"%,
"Nano Research","NANO RES","TSINGHUA UNIV PRESS","1998-0124","1998-0000","NANOSCIENCE & NANOTECHNOLOGY","SCIE","43,791","9.6","Q1","1.54","2.87"%,
"Nano Research","NANO RES","TSINGHUA UNIV PRESS","1998-0124","1998-0000","PHYSICS, APPLIED","SCIE","43,791","9.6","Q1","1.54","2.87"%,
"CANCER TREATMENT REVIEWS","CANCER TREAT REV","ELSEVIER SCI LTD","0305-7372","1532-1967","ONCOLOGY","SCIE","12,168","9.6","Q1","1.49","36.39"%,
"RARE METALS","RARE METALS","NONFERROUS METALS SOC CHINA","1001-0521","1867-7185","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","11,270","9.6","Q1","1.42","0.77"%,
"RARE METALS","RARE METALS","NONFERROUS METALS SOC CHINA","1001-0521","1867-7185","METALLURGY & METALLURGICAL ENGINEERING","SCIE","11,270","9.6","Q1","1.42","0.77"%,
"Energy and AI","ENERGY AI","ELSEVIER","2666-5468","2666-5468","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,932","9.6","Q1","1.32","99.6"%,
"Energy and AI","ENERGY AI","ELSEVIER","2666-5468","2666-5468","ENERGY & FUELS","ESCI","1,932","9.6","Q1","1.32","99.6"%,
"PERSOONIA","PERSOONIA","RIJKSHERBARIUM","0031-5850","N/A","MYCOLOGY","SCIE","2,892","9.5","Q1","2.55","100"%,
"ACADEMY OF MANAGEMENT JOURNAL","ACAD MANAGE J","ACAD MANAGEMENT","0001-4273","1948-0989","BUSINESS","SSCI","47,035","9.5","Q1","2.31","0"%,
"ACADEMY OF MANAGEMENT JOURNAL","ACAD MANAGE J","ACAD MANAGEMENT","0001-4273","1948-0989","MANAGEMENT","SSCI","47,035","9.5","Q1","2.31","0"%,
"CHEST","CHEST","ELSEVIER","0012-3692","1931-3543","CRITICAL CARE MEDICINE","SCIE","51,459","9.5","Q1","2.07","15.95"%,
"CHEST","CHEST","ELSEVIER","0012-3692","1931-3543","RESPIRATORY SYSTEM","SCIE","51,459","9.5","Q1","2.07","15.95"%,
"JOURNAL OF THE ACADEMY OF MARKETING SCIENCE","J ACAD MARKET SCI","SPRINGER","0092-0703","1552-7824","BUSINESS","SSCI","20,870","9.5","Q1","2.05","33.82"%,
"JHEP Reports","JHEP REP","ELSEVIER","N/A","2589-5559","GASTROENTEROLOGY & HEPATOLOGY","SCIE","3,525","9.5","Q1","2.01","79.77"%,
"Journal of Family Business Strategy","J FAM BUS STRATEG","ELSEVIER","1877-8585","1877-8593","BUSINESS","SSCI","2,675","9.5","Q1","2.01","20"%,
"Journal of Family Business Strategy","J FAM BUS STRATEG","ELSEVIER","1877-8585","1877-8593","MANAGEMENT","SSCI","2,675","9.5","Q1","2.01","20"%,
"Current Obesity Reports","CURR OBES REP","SPRINGER","2162-4968","2162-4968","ENDOCRINOLOGY & METABOLISM","SCIE","3,471","9.5","Q1","1.94","41.07"%,
"Current Obesity Reports","CURR OBES REP","SPRINGER","2162-4968","2162-4968","NUTRITION & DIETETICS","SCIE","3,471","9.5","Q1","1.94","41.07"%,
"EMBO JOURNAL","EMBO J","WILEY","0261-4189","1460-2075","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","63,403","9.5","Q1","1.71","66.45"%,
"EMBO JOURNAL","EMBO J","WILEY","0261-4189","1460-2075","CELL BIOLOGY","SCIE","63,403","9.5","Q1","1.71","66.45"%,
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","SPRINGERNATURE","1226-3613","2092-6413","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","15,139","9.5","Q1","1.71","99.82"%,
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","SPRINGERNATURE","1226-3613","2092-6413","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","15,139","9.5","Q1","1.71","99.82"%,
"Biomarker Research","BIOMARK RES","BMC","N/A","2050-7771","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,399","9.5","Q1","1.55","100"%,
"Biomarker Research","BIOMARK RES","BMC","N/A","2050-7771","ONCOLOGY","SCIE","3,399","9.5","Q1","1.55","100"%,
"TRANSPORT REVIEWS","TRANSPORT REV","TAYLOR & FRANCIS LTD","0144-1647","1464-5327","TRANSPORTATION","SSCI","5,372","9.5","Q1","1.52","53.66"%,
"AMERICAN JOURNAL OF KIDNEY DISEASES","AM J KIDNEY DIS","W B SAUNDERS CO-ELSEVIER INC","0272-6386","1523-6838","UROLOGY & NEPHROLOGY","SCIE","24,759","9.4","Q1","3.5","19.18"%,
"IEEE SIGNAL PROCESSING MAGAZINE","IEEE SIGNAL PROC MAG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1053-5888","1558-0792","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","15,573","9.4","Q1","3.23","2.49"%,
"Nature Cardiovascular Research","NAT CARDIOVASC RES","SPRINGERNATURE","N/A","2731-0590","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","916","9.4","Q1","2.76","40.94"%,
"JOURNAL OF APPLIED PSYCHOLOGY","J APPL PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0021-9010","1939-1854","MANAGEMENT","SSCI","51,850","9.4","Q1","2.65","3.83"%,
"JOURNAL OF APPLIED PSYCHOLOGY","J APPL PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0021-9010","1939-1854","PSYCHOLOGY, APPLIED","SSCI","51,850","9.4","Q1","2.65","3.83"%,
"MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT","MONOGR SOC RES CHILD","WILEY","0037-976X","1540-5834","PSYCHOLOGY, DEVELOPMENTAL","SSCI","2,237","9.4","Q1","2.59","55.56"%,
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","P NATL ACAD SCI USA","NATL ACAD SCIENCES","0027-8424","1091-6490","MULTIDISCIPLINARY SCIENCES","SCIE","730,642","9.4","Q1","2.4","77.97"%,
"Journal of International Financial Management & Accounting","J INT FIN MANAG ACC","WILEY","0954-1314","1467-646X","BUSINESS, FINANCE","SSCI","1,067","9.4","Q1","2.36","21.31"%,
"INTERNATIONAL JOURNAL OF PLASTICITY","INT J PLASTICITY","PERGAMON-ELSEVIER SCIENCE LTD","0749-6419","1879-2154","ENGINEERING, MECHANICAL","SCIE","19,983","9.4","Q1","2.31","10.94"%,
"INTERNATIONAL JOURNAL OF PLASTICITY","INT J PLASTICITY","PERGAMON-ELSEVIER SCIENCE LTD","0749-6419","1879-2154","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","19,983","9.4","Q1","2.31","10.94"%,
"INTERNATIONAL JOURNAL OF PLASTICITY","INT J PLASTICITY","PERGAMON-ELSEVIER SCIENCE LTD","0749-6419","1879-2154","MECHANICS","SCIE","19,983","9.4","Q1","2.31","10.94"%,
"Journal of Rock Mechanics and Geotechnical Engineering","J ROCK MECH GEOTECH","SCIENCE PRESS","1674-7755","2589-0417","ENGINEERING, GEOLOGICAL","SCIE","8,326","9.4","Q1","2.28","94.93"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2267","2168-2275","AUTOMATION & CONTROL SYSTEMS","SCIE","43,912","9.4","Q1","2.16","2.97"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2267","2168-2275","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","43,912","9.4","Q1","2.16","2.97"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2267","2168-2275","COMPUTER SCIENCE, CYBERNETICS","SCIE","43,912","9.4","Q1","2.16","2.97"%,
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","WILEY","2190-5991","2190-6009","GERIATRICS & GERONTOLOGY","SCIE","10,870","9.4","Q1","2.11","72.06"%,
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","WILEY","2190-5991","2190-6009","MEDICINE, GENERAL & INTERNAL","SCIE","10,870","9.4","Q1","2.11","72.06"%,
"CCS Chemistry","CCS CHEM","CHINESE CHEMICAL SOC","N/A","2096-5745","CHEMISTRY, MULTIDISCIPLINARY","ESCI","8,223","9.4","Q1","2.07","53.29"%,
"IEEE Transactions on Robotics","IEEE T ROBOT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1552-3098","1941-0468","ROBOTICS","SCIE","23,134","9.4","Q1","2.03","12.65"%,
"Current Climate Change Reports","CURR CLIM CHANGE REP","SPRINGER HEIDELBERG","2198-6061","2198-6061","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","2,125","9.4","Q1","1.83","42.11"%,
"Plant Communications","PLANT COMMUN","CELL PRESS","2590-3462","2590-3462","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","2,249","9.4","Q1","1.77","97.19"%,
"Plant Communications","PLANT COMMUN","CELL PRESS","2590-3462","2590-3462","PLANT SCIENCES","SCIE","2,249","9.4","Q1","1.77","97.19"%,
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","ELSEVIER SCI LTD","0951-8320","1879-0836","ENGINEERING, INDUSTRIAL","SCIE","33,272","9.4","Q1","1.71","11.66"%,
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","ELSEVIER SCI LTD","0951-8320","1879-0836","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","33,272","9.4","Q1","1.71","11.66"%,
"Acta Biomaterialia","ACTA BIOMATER","ELSEVIER SCI LTD","1742-7061","1878-7568","ENGINEERING, BIOMEDICAL","SCIE","60,912","9.4","Q1","1.7","20.92"%,
"Acta Biomaterialia","ACTA BIOMATER","ELSEVIER SCI LTD","1742-7061","1878-7568","MATERIALS SCIENCE, BIOMATERIALS","SCIE","60,912","9.4","Q1","1.7","20.92"%,
"CHINESE CHEMICAL LETTERS","CHINESE CHEM LETT","ELSEVIER SCIENCE INC","1001-8417","1878-5964","CHEMISTRY, MULTIDISCIPLINARY","SCIE","32,079","9.4","Q1","1.67","0.1"%,
"Experimental Hematology & Oncology","EXP HEMATOL ONCOL","BMC","N/A","2162-3619","HEMATOLOGY","SCIE","2,300","9.4","Q1","1.6","100"%,
"Experimental Hematology & Oncology","EXP HEMATOL ONCOL","BMC","N/A","2162-3619","ONCOLOGY","SCIE","2,300","9.4","Q1","1.6","100"%,
"JOURNAL OF COLLOID AND INTERFACE SCIENCE","J COLLOID INTERF SCI","ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9797","1095-7103","CHEMISTRY, PHYSICAL","SCIE","125,597","9.4","Q1","1.52","5.97"%,
"npj Computational Materials","NPJ COMPUT MATER","NATURE PORTFOLIO","N/A","2057-3960","CHEMISTRY, PHYSICAL","SCIE","11,949","9.4","Q1","1.52","99.71"%,
"npj Computational Materials","NPJ COMPUT MATER","NATURE PORTFOLIO","N/A","2057-3960","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","11,949","9.4","Q1","1.52","99.71"%,
"Wiley Interdisciplinary Reviews-Climate Change","WIRES CLIM CHANGE","WILEY","1757-7780","1757-7799","ENVIRONMENTAL STUDIES","SSCI","7,177","9.4","Q1","1.34","57.79"%,
"Wiley Interdisciplinary Reviews-Climate Change","WIRES CLIM CHANGE","WILEY","1757-7780","1757-7799","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","7,177","9.4","Q1","1.34","57.79"%,
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","TAYLOR & FRANCIS INC","0161-4940","1520-5703","CHEMISTRY, PHYSICAL","SCIE","3,829","9.4","Q1","0.5","10.29"%,
"ANESTHESIOLOGY","ANESTHESIOLOGY","LIPPINCOTT WILLIAMS & WILKINS","0003-3022","1528-1175","ANESTHESIOLOGY","SCIE","29,205","9.3","Q1","3.43","3.95"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","CLINICAL NEUROLOGY","SCIE","25,842","9.3","Q1","3.08","68.63"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","NEUROSCIENCES","SCIE","25,842","9.3","Q1","3.08","68.63"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","PATHOLOGY","SCIE","25,842","9.3","Q1","3.08","68.63"%,
"PRX Quantum","PRX QUANTUM","AMER PHYSICAL SOC","N/A","2691-3399","PHYSICS, APPLIED","SCIE","4,957","9.3","Q1","2.4","96.4"%,
"PRX Quantum","PRX QUANTUM","AMER PHYSICAL SOC","N/A","2691-3399","PHYSICS, MULTIDISCIPLINARY","SCIE","4,957","9.3","Q1","2.4","96.4"%,
"PRX Quantum","PRX QUANTUM","AMER PHYSICAL SOC","N/A","2691-3399","QUANTUM SCIENCE & TECHNOLOGY","SCIE","4,957","9.3","Q1","2.4","96.4"%,
"SPORTS MEDICINE","SPORTS MED","ADIS INT LTD","0112-1642","1179-2035","SPORT SCIENCES","SCIE","25,758","9.3","Q1","2.25","48.05"%,
"JOURNAL OF MANAGEMENT","J MANAGE","SAGE PUBLICATIONS INC","0149-2063","1557-1211","BUSINESS","SSCI","34,936","9.3","Q1","2.03","20.76"%,
"JOURNAL OF MANAGEMENT","J MANAGE","SAGE PUBLICATIONS INC","0149-2063","1557-1211","MANAGEMENT","SSCI","34,936","9.3","Q1","2.03","20.76"%,
"JOURNAL OF MANAGEMENT","J MANAGE","SAGE PUBLICATIONS INC","0149-2063","1557-1211","PSYCHOLOGY, APPLIED","SSCI","34,936","9.3","Q1","2.03","20.76"%,
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ECONOMICS","SSCI","67,215","9.3","Q1","2","26"%,
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ENERGY & FUELS","SCIE","67,215","9.3","Q1","2","26"%,
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ENVIRONMENTAL SCIENCES","SCIE","67,215","9.3","Q1","2","26"%,
